# Los Angeles Sales Data - Competition Period
# Generated: 2025-06-30T02:57:40.318Z
# Competition Period: 2025-06-23 to 2025-07-06
# Total Sales: 350
# Highest Sale: $12,700,000
#
address,price,beds,baths,sqft,sale_date,url
"4040 Coldstream Ter",1900000,3,3,2596,2025-06-27,"https://www.redfin.com/CA/Tarzana/4040-Coldstream-Ter-91356/home/4273607"
"10548 Ayres Ave",1895000,4,2,2319,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/10548-Ayres-Ave-90064/home/6797105"
"23747 Canzonet St",1883000,4,3,3152,2025-06-24,"https://www.redfin.com/CA/Woodland-Hills/23747-Canzonet-St-91367/home/3272113"
"9850 Yoakum Dr",1882500,3,2.25,2235,2025-06-24,"https://www.redfin.com/CA/Beverly-Hills/9850-Yoakum-Dr-90210/home/6833125"
"4631 Noble Ave",1875000,5,3,2306,2025-06-26,"https://www.redfin.com/CA/Sherman-Oaks/4631-Noble-Ave-91403/home/4820204"
"3853 Stone Canyon Ave",1875000,3,3,1832,2025-06-25,"https://www.redfin.com/CA/Sherman-Oaks/3853-Stone-Canyon-Ave-91403/home/4891751"
"4635 Gershwin Pl",1862500,5,3.5,2748,2025-06-24,"https://www.redfin.com/CA/Woodland-Hills/4635-Gershwin-Pl-91364/home/3549812"
"405 Howland Canal",1850000,4,2.5,1854,2025-06-25,"https://www.redfin.com/CA/Venice/405-Howland-Canal-90291/home/6734471"
"864 Sanborn Ave",1800000,3,2.75,1459,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/864-Sanborn-Ave-90029/home/7059705"
"1700 Mantis Ave",1774000,4,3,4175,2025-06-24,"https://www.redfin.com/CA/San-Pedro/1700-Mantis-Ave-90732/home/7736813"
"3049 Laurel Canyon Blvd",1770000,3,2,2210,2025-06-26,"https://www.redfin.com/CA/Studio-City/3049-Laurel-Canyon-Blvd-91604/home/5256268"
"4317 Elmer Ave",1740000,3,2,2075,2025-06-27,"https://www.redfin.com/CA/North-Hollywood/4317-Elmer-Ave-91602/home/5230976"
"10860 Willowcrest Pl",1703000,3,1.75,1971,2025-06-24,"https://www.redfin.com/CA/Studio-City/10860-Willowcrest-Pl-91604/home/5253828"
"21515 Arcos Dr",1700000,4,6,4894,2025-06-23,"https://www.redfin.com/CA/Woodland-Hills/21515-Arcos-Dr-91364/home/4199533"
"1116 Galloway St",1687000,0,0,0,2025-06-23,"https://www.redfin.com/CA/Pacific-Palisades/1116-Galloway-St-90272/home/6846026"
"1015 Larker Ave",1670000,4,3,1804,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/1015-Larker-Ave-90042/home/7187158"
"3000 Beach Ave",1658250,2,2,1020,2025-06-24,"https://www.redfin.com/CA/Venice/3000-Beach-Ave-90291/home/6735310"
"7952 Belton Dr",1650000,4,3,1850,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/7952-Belton-Dr-90045/home/6620734"
"2402 Aspen Dr",1637500,2,1.75,1551,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/2402-Aspen-Dr-90068/home/7131761"
"1941 Silverwood Ln",1630000,3,3,2007,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1941-Silverwood-Ln-90041/home/7083220"
"2231 San Marco Dr",1610000,3,2,1461,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/2231-San-Marco-Dr-90068/home/7128351"
"5062 Coringa Dr",1600000,3,2,1315,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/5062-Coringa-Dr-90042/home/7081375"
"1471 Ridge Way",1600000,3,1.25,2469,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1471-Ridge-Way-90026/home/7053484"
"5912 Penfield Ave",1590000,5,4,3517,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/5912-Penfield-Ave-91367/home/8091308"
"7822 Bleriot Ave",1585000,4,3,1890,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/7822-Bleriot-Ave-90045/home/6607622"
"5245 Veronica St",1581750,0,0,0,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/5245-Veronica-St-90008/home/22703860"
"2809 Beach Ave",1568000,3,1,1157,2025-06-25,"https://www.redfin.com/CA/Venice/2809-Beach-Ave-90291/home/6735333"
"16948 Bollinger Dr",1568000,0,0,0,2025-06-25,"https://www.redfin.com/CA/Pacific-Palisades/16948-Bollinger-Dr-90272/home/6842966"
"17219 Midwood Dr",1565000,4,3,2646,2025-06-24,"https://www.redfin.com/CA/Granada-Hills/17219-Midwood-Dr-91344/home/5570299"
"2128 Veteran Ave",1565000,2,1,1204,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/2128-Veteran-Ave-90025/home/6800431"
"10425 Mcvine Ave",1560000,9,5,4393,2025-06-23,"https://www.redfin.com/CA/Sunland/10425-McVine-Ave-91040/home/5523421"
"6008 Monte Vista St",1550000,3,2,1928,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/6008-Monte-Vista-St-90042/home/7086133"
"2215 Wellington Rd",1540000,4,3,1886,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/2215-Wellington-Rd-90016/home/6899100"
"1027 S Hudson Ave",1535000,3,3.5,2534,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/1027-S-Hudson-Ave-90019/home/6911600"
"17041 Labrador St",1530000,6,4,2767,2025-06-24,"https://www.redfin.com/CA/Northridge/17041-Labrador-St-91325/home/5753418"
"1001 Manzanita St",1505000,3,2.5,2214,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/1001-Manzanita-St-90029/home/7059504"
"5057 Gaynor Ave",1500000,3,2.75,2004,2025-06-24,"https://www.redfin.com/CA/Encino/5057-Gaynor-Ave-91436/home/4796857"
"4082 Sawtelle Blvd",1499000,4,2,1516,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/4082-Sawtelle-Blvd-90066/home/6738725"
"2474 Penmar Ave",1490000,9,3,3120,2025-06-26,"https://www.redfin.com/CA/Venice/2474-Penmar-Ave-90291/home/6739835"
"9935 Topeka Dr",1470000,4,4,3483,2025-06-24,"https://www.redfin.com/CA/Northridge/9935-Topeka-Dr-91324/home/5813977"
"8852 Newcastle Ave",1470000,4,3.5,2410,2025-06-24,"https://www.redfin.com/CA/Sherwood-Forest/8852-Newcastle-Ave-91325/home/5862408"
"2121 Apex Ave",1450000,2,1.75,1204,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/2121-Apex-Ave-90039/home/7056955"
"7393 W 81st St",1450000,3,2,1408,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/7393-W-81st-St-90045/home/6621495"
"10425 Independence Ave",1450000,3,2,1740,2025-06-24,"https://www.redfin.com/CA/Chatsworth/10425-Independence-Ave-91311/home/5774583"
"20306 Coraline Cir",1430000,4,3,3360,2025-06-26,"https://www.redfin.com/CA/Chatsworth/20306-Coraline-Cir-91311/home/5778449"
"11226 Ravenna Ln",1410000,4,2.75,2513,2025-06-24,"https://www.redfin.com/CA/Porter-Ranch/11226-Ravenna-Ln-91326/home/8108289"
"5625 Crescent Park W #322",1410000,3,2.5,2160,2025-06-26,"https://www.redfin.com/CA/Playa-Vista/5625-Crescent-Park-W-90094/unit-322/home/8136134"
"1838 Westholme Ave Ph 5",1407000,3,2.5,1728,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/1838-Westholme-Ave-90025/unit-5/home/8148490"
"7836 Dunbarton Ave",1400000,3,1,1319,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/7836-Dunbarton-Ave-90045/home/6614494"
"10952 Remmet Ave",1400000,5,3,2763,2025-06-27,"https://www.redfin.com/CA/Chatsworth/10952-Remmet-Ave-91311/home/5795998"
"2014 Wellington Rd",1395000,4,3,3188,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/2014-Wellington-Rd-90016/home/6899064"
"2520 7th Ave",1385000,4,2.5,1776,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/2520-7th-Ave-90018/home/6898407"
"6234 Jackie Ave",1370000,3,2,1657,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/6234-Jackie-Ave-91367/home/3190892"
"7659 Balasiano Ave",1365000,5,3,2742,2025-06-25,"https://www.redfin.com/CA/Canoga-Park/7659-Balasiano-Ave-91304/home/8177267"
"330 W 81st St",1360000,2,1,1259,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/330-W-81st-St-90003/home/7290496"
"1656 Michael Ln",1360000,2,2.5,1955,2025-06-27,"https://www.redfin.com/CA/Pacific-Palisades/1656-Michael-Ln-90272/home/6848754"
"4424 Park Jazmin",1353000,2,2.5,1902,2025-06-25,"https://www.redfin.com/CA/Calabasas/4424-Park-Jazmin-91302/home/3496456"
"11022 Fruitland Dr",1350000,3,2,1768,2025-06-27,"https://www.redfin.com/CA/Studio-City/11022-Fruitland-Dr-91604/home/5251875"
"654 Bynner Dr",1350000,3,2,1409,2025-06-27,"https://www.redfin.com/CA/San-Pedro/654-Bynner-Dr-90732/home/7735000"
"624 Swarthmore Ave",1350000,0,0,0,2025-06-26,"https://www.redfin.com/CA/Pacific-Palisades/624-Swarthmore-Ave-90272/home/6841522"
"12021 Doral Ave",1350000,4,2.5,2365,2025-06-25,"https://www.redfin.com/CA/Porter-Ranch/12021-Doral-Ave-91326/home/5983379"
"3838 Toland Way",1350000,5,3,2472,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3838-Toland-Way-90065/home/7074234"
"5195 Selmaraine Dr",1340000,3,2,1584,2025-06-26,"https://www.redfin.com/CA/Culver-City/5195-Selmaraine-Dr-90230/home/6729643"
"2902 West Blvd",1325000,6,4,2498,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/2902-West-Blvd-90016/home/6892438"
"3044 Edgehill Dr",1325000,8,8,7574,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/3044-Edgehill-Dr-90018/home/6893364"
"22563 Tiara St",1319000,4,3,2149,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/22563-Tiara-St-91367/home/3224650"
"3821 S Muirfield Rd",1310000,4,2,1620,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3821-S-Muirfield-Rd-90008/home/6888544"
"478 E Dustin Dr",1310000,3,2,1248,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/478-Dustin-Dr-90065/home/7076567"
"11563 Amigo Ave",1300000,3,1.75,1679,2025-06-27,"https://www.redfin.com/CA/Porter-Ranch/11563-Amigo-Ave-91326/home/6094354"
"13102 Garber St",1300000,8,5,2974,2025-06-24,"https://www.redfin.com/CA/Pacoima/13102-Garber-St-91331/home/5607333"
"11404 Biona Dr",1300000,2,1,1540,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/11404-Biona-Dr-90066/home/6738968"
"7324 W 88th St",1300000,2,2,1480,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/7324-W-88th-St-90045/home/6633234"
"3540 S Sycamore Ave",1300000,3,2,1360,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3540-S-Sycamore-Ave-90016/home/6889875"
"12517 Califa St",1290444,3,2,1840,2025-06-23,"https://www.redfin.com/CA/Valley-Village/12517-Califa-St-91607/home/5171698"
"559 W 21st St",1290000,8,5,4339,2025-06-24,"https://www.redfin.com/CA/San-Pedro/559-W-21st-St-90731/home/7694905"
"17265 Barneston Ct",1285000,3,2,2060,2025-06-24,"https://www.redfin.com/CA/Granada-Hills/17265-Barneston-Ct-91344/home/5570443"
