# Miami, FL Baseline Calculation Summary
# Generated: 2025-06-25T06:44:58.200Z
# Baseline Period: 90 days
# Total Sales Found: 349
# Sales Used for Baseline: 342
# Outliers Removed: 7
# Calculated Baseline: $582,500
# Price Range (after outliers): $118,000 - $4,050,000
# Median Calculation: Average of middle two values ($580,000 + $585,000) ÷ 2
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"8858 W Flagler St #206",440000,3,2.5,1420,"2025-05-09T07:00:00Z","YES","https://www.redfin.com/FL/Miami/8858-W-Flagler-St-33174/unit-206/home/43274433"
"374 NE 208th Ter",445000,3,3,1320,"2025-04-03T07:00:00Z","YES","https://www.redfin.com/FL/Miami/374-NE-208th-Ter-33179/home/171025690"
"10960 SW 182nd Ln #10960",446500,3,2,1308,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/FL/Miami/10960-SW-182nd-Ln-33157/unit-10960/home/110398297"
"10325 NW 9th Street Cir #3",449900,2,2,1245,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/10325-NW-9th-Street-Cir-33172/unit-3/home/43028025"
"12100 SW 191st Ter",450000,4,2,1272,"2025-04-23T07:00:00Z","YES","https://www.redfin.com/FL/Miami/12100-SW-191st-Ter-33177/home/43225112"
"10804 SW 72 St #115",460000,4,3,1569,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/FL/Miami/10804-SW-72nd-St-33173/unit-115/home/43086394"
"2560 NW 55th Ter",460000,3,2,808,"2025-04-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2560-NW-55th-Ter-33142/home/43038957"
"12724 SW 68th Ln",465000,2,2,1089,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/FL/Miami/12724-SW-68th-Ln-33183/home/43127929"
"1600 SW 1st Ave #402",469000,2,2,973,"2025-06-05T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1600-SW-1st-Ave-33129/unit-402/home/56742375"
"10745 SW 222nd St",469900,4,3,1412,"2025-06-16T07:00:00Z","YES","https://www.redfin.com/FL/Miami/10745-SW-222nd-St-33170/home/43226268"
"1955 NW 51st Ter",470000,4,2,1268,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1955-NW-51st-Ter-33142/home/43044917"
"10350 SW 176th St",470000,3,2,1217,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/FL/Miami/10350-SW-176th-St-33157/home/43175101"
"1325 NW 51st St",471000,3,2,1020,"2025-06-02T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1325-NW-51st-St-33142/home/42689362"
"366 NE 195th St",485000,3,2.5,1875,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/FL/Miami/366-NE-195th-St-33179/home/43012618"
"4254 SW 129th Ave",495000,3,1,1015,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/FL/Miami/4254-SW-129th-Ave-33175/home/43129402"
"13525 SW 8th Ln",495000,3,2,1357,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/FL/Miami/13525-SW-8th-Ln-33184/home/43106130"
"11213 SW 125th Ct",497000,3,2,1225,"2025-05-05T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11213-SW-125th-Ct-33186/home/43195799"
"1300 S Miami Ave #2507",499000,1,1,570,"2025-04-18T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1300-S-Miami-Ave-33130/unit-2507/home/56742848"
"11311 SW 160 Th Ct",499000,3,2,1023,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11311-SW-160th-Ct-33196/home/43183835"
"2889 McFarlane Rd #1405",500000,1,2,767,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2889-McFarlane-Rd-33133/unit-1405/home/43266481"
"3023 NW 62nd St",500000,0,0,0,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/FL/Miami/3023-NW-62nd-St-33147/home/171226508"
"9601 SW 45th St",500000,2,1,1300,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/FL/Miami/9601-SW-45th-St-33165/home/43082640"
"16222 SW 58th Ter",500000,3,2,1224,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/16222-SW-58th-Ter-33193/home/43283470"
"10935 SW 174th Ter",500000,6,4,2322,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/FL/Miami/10935-SW-174th-Ter-33157/home/43173917"
"7928 SW 165th Ct",500000,3,2.5,1770,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/FL/Miami/7928-SW-165th-Ct-33193/home/43292805"
"11923 SW 11th Ter Unit D-2",500000,3,2,1721,"2025-06-16T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11923-SW-11th-Ter-33184/unit-D2/home/43108545"
"1740 NW 86th Ter",500000,3,2,1118,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1740-NW-86th-Ter-33147/home/43036079"
"781 NW 36th Ave",500000,3,1,948,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/FL/Miami/781-NW-36th-Ave-33125/home/42710116"
"11872 SW 196th Ter",505000,3,2,1820,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11872-SW-196th-Ter-33177/home/43224994"
"1558 NW 68th St",509000,3,2,0,"2025-04-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1558-NW-68th-St-33147/home/167997045"
"2924 NW 94th St",510000,0,11706,1944,"2025-05-05T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2924-NW-94th-St-33147/home/43032374"
"2934 NW 94th St",510000,0,11740,1944,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2934-NW-94th-St-33147/home/43032375"
"7346 SW 162nd Pl",510000,3,2.5,1667,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/7346-SW-162nd-Pl-33193/home/43136679"
"8440 SW 27th Ter",515000,3,1,1183,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/FL/Miami/8440-SW-27th-Ter-33155/home/43072661"
"9000 NW 32nd Ave",517000,5,3,1140,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/FL/Miami/9000-NW-32nd-Ave-33147/home/43035148"
"60 SW 13th St #4614",518600,1,1,721,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/60-SW-13th-St-33130/unit-4614/home/43413409"
