# Phoenix, AZ Baseline Calculation Summary
# Generated: 2025-06-25T06:44:54.806Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $460,000
# Price Range (after outliers): $150,000 - $3,780,000
# Median Calculation: Middle value: $460,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"1736 E Bluefield Ave",355000,0,3,1350,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1736-E-Bluefield-Ave-85022/home/27882279"
"8226 W Whitton Ave",355000,0,2,1784,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/8226-W-Whitton-Ave-85033/home/26897629"
"16034 N 23rd St",356000,0,1,1224,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/16034-N-23rd-St-85022/home/144394062"
"12829 S Wakial Loop",360000,0,3,1380,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/12829-S-Wakial-Loop-85044/home/27242273"
"4832 E Mineral Rd #5",360000,3,2,1224,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4832-E-Mineral-Rd-85044/unit-5/home/28055188"
"1807 W Claremont St",365000,2,2,1613,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1807-W-Claremont-St-85015/home/27209976"
"3138 W Glenrosa Ave",370000,5,2,1803,"2025-04-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3138-W-Glenrosa-Ave-85017/home/28110478"
"2150 W Alameda Rd #1327",370000,3,2.5,1478,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2150-W-Alameda-Rd-85085/unit-1327/home/27343132"
"19407 N 3rd Dr",370000,3,1.75,1327,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/19407-N-3rd-Dr-85027/home/27657189"
"7537 N 35th Ave",370000,3,2,1777,"2025-05-09T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/7537-N-35th-Ave-85051/home/27996971"
"6012 W Flower St",370000,3,2,1446,"2025-06-09T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/6012-W-Flower-St-85033/home/27535259"
"1172 E Belmont Ave",372500,2,2,1368,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1172-E-Belmont-Ave-85020/home/27541502"
"2113 E Sunland Ave",372500,3,2.5,1951,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2113-E-Sunland-Ave-85040/home/28292647"
"608 N 28th St",373000,3,1.5,1477,"2025-04-29T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/608-N-28th-St-85008/home/27791085"
"2418 E Cheery Lynn Rd",375000,0,1,1024,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2418-E-Cheery-Lynn-Rd-85016/home/27469381"
