# Nashville, TN Baseline Calculation Summary
# Generated: 2025-06-25T06:44:51.649Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $529,000
# Price Range (after outliers): $185,000 - $5,167,715
# Median Calculation: Middle value: $529,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"489 Sunliner Dr",400000,3,2,1650,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/489-Sunliner-Dr-37209/home/107998434"
"720 N Dupont Ave",400751,3,3.5,2036,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/TN/Madison/720-N-DuPont-Ave-37115/home/189668157"
"700 N Dupont Ave #226",403320,3,3.5,2036,"2025-03-30T07:00:00Z","YES","https://www.redfin.com/TN/Madison/700-N-DuPont-Ave-37115/unit-226/home/189668201"
"700 N Dupont Ave #330",405400,3,3.5,2036,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/TN/Madison/700-N-DuPont-Ave-37115/unit-330/home/189668229"
"803 46th Ave N",410000,1,1,750,"2025-04-17T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/803-46th-Ave-N-37209/home/108034682"
"915 Elliston St",410000,3,2,1391,"2025-06-17T07:00:00Z","YES","https://www.redfin.com/TN/Old-Hickory/915-Elliston-St-37138/home/107977087"
"408 Penfold Aly",410175,3,2.5,1494,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/TN/Nolensville/408-Penfold-ALY-37135/home/192814725"
"116 Bluegill Ln",411990,4,2.5,1821,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/116-Bluegill-Ln-37013/home/194567478"
"2816 Donna Hill Dr",412000,3,2,1534,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2816-Donna-Hill-Dr-37214/home/107996575"
"1212 Demonbreun St #1811",412934,1,1,719,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1212-Demonbreun-St-37203/unit-1811/home/195817723"
"410 Penfold Aly",415425,3,2.5,1494,"2025-04-17T07:00:00Z","YES","https://www.redfin.com/TN/Nolensville/410-Penfold-ALY-37135/home/192786354"
"3233 Tasker Dr",417900,2,2,1400,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/3233-Tasker-Dr-37013/home/191427485"
"1435 Roberts",419900,2,1,875,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1435-Roberts-Ave-37206/home/108067811"
"1736 Flora Grv",420000,3,2.5,1749,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1736-Flora-Grv-37076/home/194605132"
"1903 Mahala Dr",420000,4,2,1834,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1903-Mahala-Dr-37076/home/194349310"
"308 Delta Way",424990,3,2.5,1984,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/TN/La-Vergne/308-Delta-Way-37086/home/184506391"
"3315 Walton Ln",425000,4,2,1701,"2025-06-02T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3315-Walton-Ln-37216/home/191986537"
"4700 Kentucky Ave",425000,3,2,1063,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/4700-Kentucky-Ave-37209/home/60849301"
"126B 40th Ave N",425000,2,1.5,1020,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/126B-40th-Ave-N-37209/home/195224505"
